Sticker_No,Core_No,Plot,Treatment,fires_since_1986,TSF,Total_carbon,Total_nitrogen,Standard,TreeOpen,CoreDepth,SoilDepth,TopsoilDepth,SoilColour,Weight (g),RatioC:N,Sticker_No,Core_No,Plot,Total_carbon,Total_nitrogen,Bulk_Den_g/cm3
1,96,8,LF,3,6,1.54,0.05,,Tree,20,17.5,7,Yellow,93.87,30.8,1,96,8,1.54,0.05,1.291050457
2,120,31,LR,3,4,2.15,0.05,,Tree,20,13.5,2,Yellow,61.87,43,2,120,31,2.15,0.05,1.103064211
3,118,31,LR,3,4,2.46,0.05,,Tree,20,11.5,2,Yellow,57.11,49.2,3,118,31,2.46,0.05,1.195277561
4,73,7,LF,6,4,2.6,0.06,,Open,20,15.5,10,Yellow,82.47,43.33333333,4,73,7,2.6,0.06,1.280615467
5,102,35,LR,3,4,4.09,0.08,,Tree,20,16.7,11,Yellow-Grey,78.43,51.125,5,102,35,4.09,0.08,1.130368875
6,45,67,UR,3,4,1.01,0.1,,Open,20,17.8,2,Yellow,93.25,10.1,6,45,67,1.01,0.1,1.260907665
7,122,33,LR,1,4,6.39,0.2,,Open,20,12.5,10,Grey,47.69,31.95,7,122,33,6.39,0.2,0.918272875
8,21,103,UF,4,4,2.12,0.07,,Open,20,15.2,7,Yellow-Grey,74.7,30.28571429,8,21,103,2.12,0.07,1.182854865
9,115,31,LR,3,4,2.02,0.07,,Open,20,14.5,3,Yellow,71.74,28.85714286,9,115,31,2.02,0.07,1.190824652
10,45,67,UR,3,4,1.02,0.05,,Open,20,17.8,2,Yellow,93.25,20.4,10,45,67,1.02,0.05,1.260907665
11,92,8,LF,3,6,1.31,0.06,,Open,20,16.8,7,Yellow,94.99,21.83333333,11,92,8,1.31,0.06,1.360890093
12,90,9,LF,5,4,2.13,0.07,,Tree,20,15,4,Grey,83.49,30.42857143,12,90,9,2.13,0.07,1.339669434
13,91,8,LF,3,6,1.18,0.04,,Open,20,17,1,Yellow,97.51,29.5,13,91,8,1.18,0.04,1.380558079
14,71,72,UR,1,4,4.03,0.08,,Tree,18.5,14.8,7,Yellow,61.38,50.375,14,71,72,4.03,0.08,0.998204711
15,72,72,UR,1,4,5.08,0.14,,Tree,18.5,14,6,Yellow,62.16,36.28571429,15,72,72,5.08,0.14,1.068654741
16,104,36,LR,1,4,1.92,0.07,,Open,20,12,2,Yellow,54.93,27.42857143,16,104,36,1.92,0.07,1.101749341
17,21,103,UF,4,4,2.14,0.05,,Open,20,15.2,7,Yellow-Grey,74.7,42.8,17,21,103,2.14,0.05,1.182854865
18,68,72,UR,1,4,4.76,0.07,,Open,20,14.5,3,Yellow,65.58,68,18,68,72,4.76,0.07,1.088573748
19,76,7,LF,6,4,4.3,0.08,,Tree,20,16.5,7,Yellow,76.79,53.75,19,76,7,4.3,0.08,1.120147387
20,101,35,LR,3,4,3.94,0.1,,Tree,20,16,6,Grey,75.38,39.4,20,101,35,3.94,0.1,1.133941362
