"nfires","harvest","treeopen","mean","lwr","upr"
0,"unharvested","Open",45.81,41.28,50.82
1,"unharvested","Open",50.05,46.01,54.45
2,"unharvested","Open",54.05,49.56,58.94
3,"unharvested","Open",57.4,52.77,62.43
4,"unharvested","Open",59.34,54.1,65.09
5,"unharvested","Open",59.62,51.91,68.48
6,"unharvested","Open",58.85,46.67,74.21
7,"unharvested","Open",57.91,40.09,83.64
0,"harvested","Open",47.52,42.84,52.71
1,"harvested","Open",43.17,38.5,48.42
2,"harvested","Open",43.69,38.48,49.61
3,"harvested","Open",50.34,45.3,55.93
4,"harvested","Open",55.8,49.26,63.2
5,"harvested","Open",57.45,48.99,67.38
6,"harvested","Open",59.11,50.06,69.79
7,"harvested","Open",61.58,45.68,83.01
0,"unharvested","Tree",49.85,44.93,55.3
1,"unharvested","Tree",54.47,50.07,59.25
2,"unharvested","Tree",58.81,53.93,64.14
3,"unharvested","Tree",62.46,57.43,67.93
4,"unharvested","Tree",64.57,58.87,70.83
5,"unharvested","Tree",64.88,56.49,74.52
6,"unharvested","Tree",64.04,50.78,80.76
7,"unharvested","Tree",63.01,43.62,91.02
0,"harvested","Tree",51.71,46.62,57.36
1,"harvested","Tree",46.98,41.89,52.69
2,"harvested","Tree",47.55,41.87,53.99
3,"harvested","Tree",54.78,49.29,60.87
4,"harvested","Tree",60.72,53.61,68.77
5,"harvested","Tree",62.52,53.31,73.32
6,"harvested","Tree",64.32,54.48,75.94
7,"harvested","Tree",67.01,49.71,90.34
